ADM_CD,ADM_NM,dong_1_name,dong_1_code,dong_1_distance,dong_2_name,dong_2_code,dong_2_distance,dong_3_name,dong_3_code,dong_3_distance,dong_4_name,dong_4_code,dong_4_distance,dong_5_name,dong_5_code,dong_5_distance,dong_6_name,dong_6_code,dong_6_distance,dong_7_name,dong_7_code,dong_7_distance,dong_8_name,dong_8_code,dong_8_distance,dong_9_name,dong_9_code,dong_9_distance,dong_10_name,dong_10_code,dong_10_distance
11180580,시흥2동,시흥5동,11180610,762.8759537362768,시흥4동,11180600,1378.0150261180936,시흥3동,11180590,1714.043804374002,시흥1동,11180570,1748.3494811968744,독산2동,11180530,2092.802818993757,독산4동,11180550,2458.670591259194,독산1동,11180520,2837.8084042516302,독산3동,11180540,3071.1965198150233,가산동,11180510,4280.194671714285,,,
11180590,시흥3동,시흥5동,11180610,993.6948281011678,시흥1동,11180570,1462.8800304557565,시흥2동,11180580,1714.043804374002,시흥4동,11180600,2237.1946478431437,독산2동,11180530,2664.1678014366557,독산1동,11180520,2941.6027713621133,독산4동,11180550,3232.5983404970602,독산3동,11180540,3963.638203401874,가산동,11180510,4509.009757718233,,,
11180600,시흥4동,독산2동,11180530,723.5907795585942,독산4동,11180550,1110.6090067293148,시흥1동,11180570,1174.115105308449,시흥2동,11180580,1378.0150261180936,시흥5동,11180610,1424.4764972314042,독산1동,11180520,1559.4767185181706,독산3동,11180540,1792.6617366673725,시흥3동,11180590,2237.1946478431437,가산동,11180510,2912.0770719784564,,,
11190560,당산2동,당산1동,11190550,1235.3631956086037,영등포동,11190740,1463.3131650295104,양평2동,11190620,1473.1999544100922,양평1동,11190610,1683.5105652759062,문래동,11190760,2191.335267573505,영등포본동,11190730,2353.574686102129,여의동,11190540,2388.4057028065113,도림동,11190750,2777.9254251829393,신길1동,11190630,2840.6266409910327,신길3동,11190650,3106.5733461071
11190610,양평1동,당산1동,11190550,905.6651213049024,문래동,11190760,1062.0346889045138,당산2동,11190560,1683.5105652759062,영등포동,11190740,1894.3561606463436,양평2동,11190620,2031.4679986149172,도림동,11190750,2187.4745762186462,영등포본동,11190730,2402.7476321848444,신길3동,11190650,2717.02327180277,대림3동,11190720,2970.71260156929,신길4동,11190660,3093.9856600369612
11190620,양평2동,당산2동,11190560,1473.1999544100922,양평1동,11190610,2031.4679986149172,당산1동,11190550,2242.581242812787,영등포동,11190740,2858.102879702389,문래동,11190760,2993.031137446614,영등포본동,11190730,3708.6744455663847,여의동,11190540,3737.6911837121293,도림동,11190750,3916.291058935652,신길1동,11190630,4289.709848521006,신길3동,11190650,4346.847540645326
11190630,신길1동,신길7동,11190690,720.0558402874489,신길4동,11190660,851.2906198842268,영등포본동,11190730,889.9491452814584,신길3동,11190650,1392.7068848150986,영등포동,11190740,1461.3182558496042,신길6동,11190680,1600.4377944297967,도림동,11190750,1712.332176778476,신길5동,11190670,1773.0308049952641,여의동,11190540,1952.4529854908142,당산1동,11190550,2375.710040893126
11190680,신길6동,신길5동,11190670,753.3390971663704,신길4동,11190660,900.0242237140703,대림1동,11190700,932.3556422453814,신길7동,11190690,953.0351883045091,신길3동,11190650,1077.0086840473025,대림3동,11190720,1459.8969072048724,대림2동,11190710,1540.4834705999938,신길1동,11190630,1600.4377944297967,도림동,11190750,1623.971979838333,영등포본동,11190730,1689.824865490285
11190690,신길7동,신길4동,11190660,604.1755627858334,신길1동,11190630,720.0558402874489,신길6동,11190680,953.0351883045091,신길3동,11190650,1219.2833484650275,영등포본동,11190730,1233.7755203642907,신길5동,11190670,1359.3170927392061,도림동,11190750,1716.0778732239528,대림1동,11190700,1859.8493554225374,영등포동,11190740,2033.0212002696544,대림3동,11190720,2088.4549872945395
11190720,대림3동,신길5동,11190670,747.4598170054535,대림1동,11190700,1000.7580313775958,신길3동,11190650,1029.958389761766,도림동,11190750,1054.849083556102,대림2동,11190710,1189.4220817439461,신길6동,11190680,1459.8969072048724,신길4동,11190660,1582.763401530793,영등포본동,11190730,1870.985758206878,문래동,11190760,1911.1084300481107,신길7동,11190690,2088.4549872945395
11190730,영등포본동,신길4동,11190660,808.2158919889707,신길3동,11190650,889.4298153892839,신길1동,11190630,889.9491452814584,영등포동,11190740,894.8893501763894,도림동,11190750,940.8980629350651,신길7동,11190690,1233.7755203642907,신길5동,11190670,1454.6867136472467,당산1동,11190550,1599.2119754691423,문래동,11190760,1662.9515307199824,신길6동,11190680,1689.824865490285
11190740,영등포동,영등포본동,11190730,894.8893501763894,당산1동,11190550,989.8539053422768,신길1동,11190630,1461.3182558496042,당산2동,11190560,1463.3131650295104,도림동,11190750,1518.1734782858218,문래동,11190760,1565.8129501902322,신길4동,11190660,1696.4585702541722,신길3동,11190650,1711.13747464546,양평1동,11190610,1894.3561606463436,여의동,11190540,1997.4950109181234
11190750,도림동,신길3동,11190650,560.3095252346308,영등포본동,11190730,940.8980629350651,신길5동,11190670,1004.6965296848346,대림3동,11190720,1054.849083556102,신길4동,11190660,1112.4138602867956,문래동,11190760,1175.8009568952177,영등포동,11190740,1518.1734782858218,신길6동,11190680,1623.971979838333,당산1동,11190550,1674.7000828094801,신길1동,11190630,1712.332176778476
11190760,문래동,당산1동,11190550,961.4337410769944,양평1동,11190610,1062.0346889045138,도림동,11190750,1175.8009568952177,영등포동,11190740,1565.8129501902322,영등포본동,11190730,1662.9515307199824,신길3동,11190650,1730.5900544363058,대림3동,11190720,1911.1084300481107,신길5동,11190670,2148.482731017357,당산2동,11190560,2191.335267573505,신길4동,11190660,2201.874746882106
11190540,여의동,신길1동,11190630,1952.4529854908142,영등포동,11190740,1997.4950109181234,영등포본동,11190730,2347.080106259262,당산2동,11190560,2388.4057028065113,신길7동,11190690,2624.3353346189274,신길4동,11190660,2768.9976674606596,당산1동,11190550,2846.6058486806314,신길3동,11190650,3182.3374995111685,도림동,11190750,3273.3634806426426,신길6동,11190680,3549.5107951831187
11190550,당산1동,양평1동,11190610,905.6651213049024,문래동,11190760,961.4337410769944,영등포동,11190740,989.8539053422768,당산2동,11190560,1235.3631956086037,영등포본동,11190730,1599.2119754691423,도림동,11190750,1674.7000828094801,신길3동,11190650,2114.7898388101153,양평2동,11190620,2242.581242812787,신길4동,11190660,2361.8724649732912,신길1동,11190630,2375.710040893126
