ADM_CD,total_all_2022,solo_all_2022,total_20_2022,solo_20_2022,total_25_2022,solo_25_2022,total_30_2022,solo_30_2022,total_35_2022,solo_35_2022,solo_20s_2022,solo_30s_2022,solo_all_ratio,solo_20s_ratio,solo_30s_ratio
11030730,13439.0,3666.0,1002.0,287.0,1223.0,394.0,1552.0,748.0,1471.0,660.0,340.5,704.0,27.278815388049704,9.288052373158756,19.203491543917075
11020670,11083.0,3306.0,772.0,352.0,1217.0,599.0,1429.0,487.0,1173.0,362.0,475.5,424.5,29.829468555445278,14.382940108892923,12.840290381125227
11020690,10606.0,4053.0,706.0,318.0,901.0,399.0,1431.0,631.0,1388.0,569.0,358.5,600.0,38.2142183669621,8.845299777942264,14.803849000740193
11020700,13050.0,2597.0,1137.0,318.0,1292.0,392.0,1499.0,398.0,1168.0,277.0,355.0,337.5,19.90038314176245,13.66961879091259,12.995764343473237
11020710,15327.0,2493.0,1042.0,145.0,1204.0,200.0,1502.0,209.0,1476.0,185.0,172.5,197.0,16.26541397533764,6.919374247894103,7.902125952667468
11150640,13301.0,911.0,1151.0,43.0,842.0,35.0,813.0,65.0,1007.0,69.0,39.0,67.0,6.849109089542139,4.281009879253568,7.354555433589462
11020720,12586.0,2129.0,985.0,174.0,1106.0,211.0,1335.0,230.0,1139.0,175.0,192.5,202.5,16.915620530748452,9.041803663691875,9.511507750117426
11150720,29700.0,5832.0,2444.0,526.0,2672.0,633.0,3680.0,900.0,3045.0,652.0,579.5,776.0,19.636363636363637,9.93655692729767,13.305898491083676
11020730,9084.0,1005.0,800.0,72.0,727.0,72.0,815.0,111.0,856.0,104.0,72.0,107.5,11.063408190224571,7.164179104477612,10.696517412935323
11030630,19439.0,1501.0,1125.0,45.0,1185.0,51.0,1663.0,78.0,2224.0,93.0,48.0,85.5,7.721590616801276,3.1978680879413726,5.69620253164557
11030640,7537.0,1135.0,463.0,76.0,562.0,95.0,815.0,129.0,727.0,106.0,85.5,117.5,15.059042059174738,7.533039647577093,10.352422907488986
11030660,8750.0,2510.0,536.0,217.0,900.0,386.0,1130.0,418.0,941.0,313.0,301.5,365.5,28.685714285714287,12.011952191235059,14.561752988047807
11040560,11940.0,2096.0,1196.0,289.0,1354.0,343.0,1155.0,225.0,1126.0,175.0,316.0,200.0,17.554438860971526,15.076335877862595,9.541984732824428
11040570,19707.0,1934.0,1436.0,67.0,1369.0,72.0,2044.0,186.0,2376.0,189.0,69.5,187.5,9.81377175622875,3.59358841778697,9.69493278179938
11040580,12752.0,1259.0,863.0,63.0,836.0,66.0,1218.0,142.0,1455.0,151.0,64.5,146.5,9.872961104140526,5.123113582208102,11.636219221604447
11040660,14446.0,3138.0,1121.0,356.0,1645.0,586.0,1836.0,535.0,1555.0,419.0,471.0,477.0,21.722276062577876,15.009560229445507,15.200764818355642
11040680,10478.0,2367.0,802.0,255.0,1116.0,394.0,1270.0,383.0,966.0,260.0,324.5,321.5,22.590188967360184,13.709336713138995,13.582594000844953
