ADM_CD,사업체수_2022,종사자수_2022,금융기관_2023,유통업체수_2022,대형마트_2022,쇼핑업체수_2022,대학교,기타대학,면적
11190730.0,1723,5838,0,1,0,1,0.0,0.0,1.02
11190740.0,14996,42431,0,6,1,5,0.0,0.0,1.26
11190540.0,17274,195009,0,3,1,2,0.0,0.0,8.4
11190550.0,6009,26110,0,2,0,2,0.0,0.0,0.75
11190560.0,4354,25401,0,1,0,1,0.0,0.0,1.55
11190750.0,1613,3121,0,1,0,1,0.0,0.0,0.89
11190760.0,7595,49300,0,4,1,3,0.0,0.0,1.49
11190610.0,4744,25003,0,4,2,2,0.0,0.0,0.88
11190620.0,3544,22775,0,0,0,0,0.0,0.0,3.0
11190630.0,1429,4395,0,1,0,1,0.0,0.0,0.66
11190650.0,1230,2903,0,1,0,1,0.0,0.0,0.52
11190660.0,590,1501,0,0,0,0,0.0,0.0,0.38
11190670.0,735,2078,0,0,0,0,0.0,0.0,0.47
11190680.0,1714,4957,0,0,0,0,0.0,0.0,0.65
11190690.0,1006,3447,0,0,0,0,0.0,0.0,0.64
11190700.0,1399,4781,0,1,0,1,0.0,0.0,0.49
11190710.0,2092,4741,0,1,0,1,0.0,0.0,0.55
11190720.0,3423,9446,0,1,0,1,0.0,0.0,0.95
11200720.0,2279,7335,0,0,0,0,0.0,0.0,1.58
11200520.0,1956,6911,0,1,0,1,0.0,0.0,0.64
11200530.0,2616,9710,0,1,0,1,1.0,0.0,1.51
11200540.0,1733,5469,0,0,0,0,0.0,0.0,0.98
11200550.0,1503,3780,0,1,0,1,0.0,0.0,0.6
11200560.0,1565,3447,0,0,0,0,0.0,0.0,0.75
11200710.0,1943,10608,0,1,0,1,1.0,0.0,1.68
11200630.0,2455,10604,0,0,0,0,0.0,0.0,0.79
11200730.0,2207,6128,0,1,0,1,0.0,0.0,2.75
11200650.0,1418,4718,0,0,0,0,1.0,0.0,0.92
11200660.0,948,2004,0,1,0,1,0.0,0.0,0.38
11200670.0,834,1933,0,0,0,0,0.0,0.0,0.57
11200680.0,2377,12418,0,0,0,0,0.0,0.0,1.55
11200690.0,1434,4365,0,0,0,0,0.0,0.0,0.62
11200700.0,1852,17639,0,0,0,0,0.0,0.0,1.03
11210520.0,1943,7099,0,1,0,1,0.0,0.0,0.76
11210540.0,745,1503,0,2,0,2,0.0,0.0,0.3
11210790.0,1357,3265,0,0,0,0,0.0,0.0,0.68
11210570.0,2043,6101,0,1,0,1,0.0,0.0,0.72
11210580.0,1980,8969,0,0,0,0,1.0,0.0,2.27
11210800.0,2717,12571,0,2,0,2,0.0,0.0,1.18
11210780.0,2348,8039,0,2,0,2,0.0,0.0,0.78
11210610.0,1659,5458,0,1,0,1,0.0,0.0,0.39
11210620.0,1557,4630,0,1,0,1,0.0,0.0,1.08
11210630.0,1472,7215,0,1,1,0,0.0,0.0,3.27
11210640.0,1825,8898,0,1,0,1,0.0,0.0,0.65
11210650.0,1165,2706,0,1,0,1,0.0,0.0,0.55
11210660.0,1560,3344,0,1,0,1,0.0,0.0,0.99
11210680.0,1892,4428,0,1,0,1,0.0,0.0,0.64
11210690.0,2198,5910,0,1,0,1,0.0,0.0,0.54
11210710.0,744,2078,0,0,0,0,0.0,0.0,0.8
11210720.0,2634,6832,0,1,0,1,0.0,0.0,0.67
11210730.0,2035,15662,0,1,0,1,0.0,0.0,8.3
